Rank,Name,Country,Rating,Year,Month
1,"Spassky, Boris V.",URS,2670,1967,6
1,"Fischer, Robert James",USA,2670,1967,6
3,"Petrosian, Tigran",URS,2660,1967,6
4,"Botvinnik, Mikhail",URS,2650,1967,6
4,"Tal, Mikhail N.",URS,2650,1967,6
6,"Stein, Leonid",URS,2640,1967,6
7,"Geller, Efim P.",URS,2630,1967,6
8,"Larsen, Bent",DEN,2620,1967,6
8,"Portisch, Lajos",HUN,2620,1967,6
8,"Korchnoi, Viktor",URS,2620,1967,6
8,"Polugaevsky, Lev",URS,2620,1967,6
12,"Keres, Paul",URS,2610,1967,6
12,"Smyslov, Vassily",URS,2610,1967,6
14,"Taimanov, Mark E.",URS,2600,1967,6
15,"Uhlmann, Wolfgang",GDR,2590,1967,6
15,"Unzicker, Wolfgang",GER,2590,1967,6
15,"Kholmov, Ratmir D.",URS,2590,1967,6
15,"Lutikov, Anatoly S.",URS,2590,1967,6
19,"Najdorf, Miguel",ARG,2580,1967,6
19,"Hort, Vlastimil",CSR,2580,1967,6
19,"Boleslavsky, Isaak",URS,2580,1967,6
19,"Bronstein, David I.",URS,2580,1967,6
19,"Furman, Semyen A.",URS,2580,1967,6
19,"Gipslis, Aivars",URS,2580,1967,6
19,"Reshevsky, Samuel H.",USA,2580,1967,6
26,"Savon, Vladimir A.",URS,2570,1967,6
26,"Vasiukov, Evgeni",URS,2570,1967,6
26,"Benko, Pal C.",USA,2570,1967,6
26,"Gligoric, Svetozar",YUG,2570,1967,6
26,"Ivkov, Borislav",YUG,2570,1967,6
31,"Averbakh, Yuri L.",URS,2560,1967,6
31,"Suetin, Alexey S.",URS,2560,1967,6
31,"Evans, Larry M.",USA,2560,1967,6
34,"Olafsson, Fridrik",ISL,2550,1967,6
35,"Pachman, Ludek",CSR,2540,1967,6
35,"Antoshin, Vladimir S.",URS,2540,1967,6
35,"Lein, Anatoly",URS,2540,1967,6
35,"Nei, Iivo",URS,2540,1967,6
35,"Byrne, Robert E.",USA,2540,1967,6
40,"Panno, Oscar",ARG,2530,1967,6
40,"Filip, Miroslav",CSR,2530,1967,6
40,"Kavalek, Lubomir",CSR,2530,1967,6
40,"Pomar Salamanca, Arturo",ESP,2530,1967,6
40,"Szabo, Laszlo",HUN,2530,1967,6
40,"Krogius, Nikolai V.",URS,2530,1967,6
40,"Liberzon, Vladimir M.",URS,2530,1967,6
40,"Lombardy, William J.",USA,2530,1967,6
40,"Matanovic, Aleksandar",YUG,2530,1967,6
40,"Matulovic, Milan",YUG,2530,1967,6
50,"Bolbochan, Julio",ARG,2520,1967,6
50,"Darga, Klaus",GER,2520,1967,6
50,"Donner, Jan-Hein",NED,2520,1967,6
50,"Ciric, Dragoljub M.",YUG,2520,1967,6
50,"Parma, Bruno",YUG,2520,1967,6
55,"Eliskases, Erich",ARG,2510,1967,6
55,"Schmid, Lothar",GER,2510,1967,6
55,"Bilek, Istvan",HUN,2510,1967,6
55,"Osnos, Viatcheslav",URS,2510,1967,6
55,"Simagin, Vladimir",URS,2510,1967,6
55,"Trifunovic, Petar",YUG,2510,1967,6
