feature,gain,split,gain_pct
white_acpl_opening,75234736400.70312,9987,25.14
black_acpl_opening,45078135706.88672,9858,15.06
black_acpl_middle,40171530501.90625,9974,13.42
white_acpl_middle,37294289444.21484,10174,12.46
white_acpl,20513117557.085938,8680,6.85
time_control_seconds,19811103934.277344,4724,6.62
time_control_increment,16170833763.699219,4083,5.4
black_acpl,13409762531.398438,8438,4.48
theory_depth_swing,11699060632.789062,5380,3.91
total_moves,7249662494.300781,7567,2.42
white_acpl_endgame,5918503039.5078125,6884,1.98
black_acpl_endgame,5460568718.886719,7056,1.82
result_white,1235911880.0,1191,0.41
