feature,gain,split,gain_pct,group
white_acpl_opening,207535694156.49414,38894,15.75,acpl   
black_opening_thinking,127698600845.42969,29529,9.69,time   
black_acpl_opening,118431088387.0293,39076,8.99,acpl   
black_acpl_middle,112247057709.6875,38062,8.52,acpl   
white_acpl_middle,101472521352.01758,39951,7.7,acpl   
white_opening_thinking,73205181635.58594,30017,5.56,time   
white_acpl,64146362750.51953,31937,4.87,acpl   
white_think_std,54352038242.53125,35204,4.12,time   
black_think_std,53055537521.78125,35460,4.03,time   
black_fast_moves_pct,44382784502.51953,33162,3.37,time   
white_fast_moves_pct,43006660420.125,34054,3.26,time   
black_acpl,42938081292.71094,31157,3.26,acpl   
time_control_seconds,38435998016.69141,12964,2.92,acpl   
theory_depth_swing,32668543292.375,23281,2.48,acpl   
total_moves,22804288559.58008,29432,1.73,acpl   
time_control_increment,22741730273.896484,10981,1.73,acpl   
white_acpl_endgame,18613004869.308594,30138,1.41,acpl   
black_acpl_endgame,18288795572.52539,30746,1.39,acpl   
white_pawn_moves_in_opening,15069691124.996094,12195,1.14,pattern
black_avg_think,14620588441.328125,26895,1.11,time   
white_avg_think,14097723526.794922,26929,1.07,time   
black_pawn_moves_in_opening,11546271590.800781,12282,0.88,pattern
white_castled_move,11090516847.208984,16803,0.84,pattern
black_castled_move,10793288565.232422,16808,0.82,pattern
white_piece_moved_twice_opening,7859230002.283203,7326,0.6,pattern
white_early_queen_blunders,7228889784.800781,3053,0.55,pattern
black_piece_moved_twice_opening,4895453754.003906,6696,0.37,pattern
black_early_queen_blunders,3598459525.40625,2925,0.27,pattern
black_quick_blunders,3125966606.9960938,5931,0.24,time   
result_white,2957201583.498047,3633,0.22,acpl   
white_quick_blunders,2937141469.8710938,5347,0.22,time   
white_opening_blunders,2372562789.9023438,1104,0.18,pattern
black_castled,2193782284.1757812,2388,0.17,pattern
black_opening_blunders,1936363280.796875,958,0.15,pattern
white_castled,1787937239.1113281,2084,0.14,pattern
white_pointless_checks,1107026913.0,2364,0.08,pattern
black_bad_rim_knight,1099588764.1953125,619,0.08,pattern
black_pointless_checks,898833351.5996094,2035,0.07,pattern
white_bad_rim_knight,343279499.00390625,503,0.03,pattern
black_bad_corner_bishop,162399447.7109375,199,0.01,pattern
white_bad_corner_bishop,56032464.490234375,164,0.0,pattern
