feature,gain,split,gain_pct,group
white_acpl_opening,262934162747.30664,48953,15.55,acpl   
black_opening_thinking,163198474769.51953,36794,9.65,time   
black_acpl_opening,154005987397.29297,48835,9.11,acpl   
black_acpl_middle,139873995487.5918,46953,8.27,acpl   
white_acpl_middle,134594850110.49805,48743,7.96,acpl   
white_opening_thinking,91726993261.24023,36998,5.43,time   
white_acpl,81712075214.18945,40292,4.83,acpl   
white_think_std,68789491657.29297,43675,4.07,time   
black_think_std,68533263987.984375,44924,4.05,time   
black_fast_moves_pct,57125776880.296875,42494,3.38,time   
white_fast_moves_pct,55073613270.66797,41769,3.26,time   
black_acpl,54955943157.59961,38848,3.25,acpl   
time_control_seconds,49573035447.91406,15981,2.93,acpl   
theory_depth_swing,42229188163.35742,29115,2.5,acpl   
time_control_increment,30196992741.42578,13615,1.79,acpl   
total_moves,29840774554.445312,36872,1.77,acpl   
black_acpl_endgame,23834285366.60547,39010,1.41,acpl   
white_acpl_endgame,23780348198.13672,38120,1.41,acpl   
white_pawn_moves_in_opening,21091188753.708984,15545,1.25,pattern
black_avg_think,18659174595.46875,34600,1.1,time   
white_avg_think,18201795952.966797,34269,1.08,time   
black_pawn_moves_in_opening,14552718037.296875,15361,0.86,pattern
white_castled_move,14337441606.691406,21375,0.85,pattern
black_castled_move,13663065625.484375,21273,0.81,pattern
white_piece_moved_twice_opening,9746935071.908203,9211,0.58,pattern
white_early_queen_blunders,9536463941.300781,3857,0.56,pattern
black_piece_moved_twice_opening,6343753369.777344,8419,0.38,pattern
black_early_queen_blunders,4952160485.394531,3840,0.29,pattern
result_white,3972145321.1015625,4666,0.23,acpl   
black_quick_blunders,3878464782.5234375,6948,0.23,time   
white_quick_blunders,3750164737.4101562,7078,0.22,time   
white_opening_blunders,3141010196.8945312,1522,0.19,pattern
black_castled,2828151965.171875,2854,0.17,pattern
black_opening_blunders,2708777652.203125,1216,0.16,pattern
white_castled,2518476307.9921875,2724,0.15,pattern
white_pointless_checks,1405494666.796875,2948,0.08,pattern
black_bad_rim_knight,1194557471.7949219,639,0.07,pattern
black_pointless_checks,1188345981.7070312,2503,0.07,pattern
white_bad_rim_knight,495867871.203125,707,0.03,pattern
black_bad_corner_bishop,246789892.99023438,245,0.01,pattern
white_bad_corner_bishop,108442071.4921875,209,0.01,pattern
