feature,gain,split,gain_pct
white_acpl_opening,551615294185.6016,30949,18.05
black_opening_thinking,339625752003.6094,23150,11.12
black_acpl_opening,328596417283.2031,29258,10.75
black_acpl_middle,276919275105.28906,30755,9.06
white_acpl_middle,270182488148.58594,31081,8.84
white_opening_thinking,177705859684.79688,23402,5.82
white_acpl,151585231809.60156,26388,4.96
black_think_std,124698694809.20312,28986,4.08
white_think_std,123000357181.30469,28500,4.03
black_fast_moves_pct,103170732384.0,26714,3.38
white_fast_moves_pct,98859759695.0,26764,3.24
black_acpl,96890492550.21094,25168,3.17
time_control_seconds,95605801169.5,12705,3.13
theory_depth_swing,76338732912.38281,16273,2.5
time_control_increment,55280177554.09375,10175,1.81
total_moves,46719357651.703125,23426,1.53
white_acpl_endgame,35205245361.11719,21549,1.15
black_acpl_endgame,32078086312.390625,22048,1.05
black_avg_think,26949600100.796875,21271,0.88
white_avg_think,25961567356.890625,20568,0.85
result_white,6978910014.0,3339,0.23
black_quick_blunders,6027151485.0,4354,0.2
white_quick_blunders,5404195357.0,4281,0.18
