feature,gain,split,gain_pct
white_opening_blunders,232626980987.9922,1976,23.88
black_opening_blunders,132210650636.0,2163,13.57
black_pawn_moves_in_opening,87267334908.49219,15405,8.96
white_castled_move,76221391467.5,19683,7.82
white_pawn_moves_in_opening,75415621535.40625,14266,7.74
black_castled_move,74577843629.90625,19586,7.66
white_early_queen_blunders,46215959646.89844,4574,4.74
black_castled,40341351342.89844,2678,4.14
white_piece_moved_twice_opening,39063094907.203125,9647,4.01
white_castled,31325618885.0,2428,3.22
black_bad_rim_knight,30080593481.703125,2584,3.09
white_pointless_checks,27397028995.789062,5705,2.81
black_piece_moved_twice_opening,23486135442.507812,8779,2.41
black_pointless_checks,21743266479.695312,5605,2.23
white_bad_rim_knight,19230162919.0,2294,1.97
black_early_queen_blunders,16060500239.195312,5630,1.65
black_bad_corner_bishop,480942233.59375,392,0.05
white_bad_corner_bishop,451752857.296875,355,0.05
