rank,year,month,name,federation,rating
1,2001,JUL,"Kasparov, Garry",Russia,2838
2,2001,JUL,"Kramnik, Vladimir",Russia,2802
3,2001,JUL,"Anand, Viswanathan",India,2794
4,2001,JUL,"Fischer, Robert J",United States of America,2780
5,2001,JUL,"Morozevich, Alexander",Russia,2749
6,2001,JUL,"Adams, Michael",England,2744
7,2001,JUL,"Ivanchuk, Vassily",Ukraine,2731
8,2001,JUL,"Leko, Peter",Hungary,2730
9,2001,JUL,"Bareev, Evgeny",Russia,2719
10,2001,JUL,"Kamsky, Gata",United States of America,2717
11,2001,JUL,"Topalov, Veselin",Bulgaria,2711
12,2001,JUL,"Shirov, Alexei",Spain,2706
13,2001,JUL,"Gelfand, Boris",Israel,2704
14,2001,JUL,"Kasimdzhanov, Rustam",Uzbekistan,2704
15,2001,JUL,"Smirin, Ilia",Israel,2702
16,2001,JUL,"Khalifman, Alexander",Russia,2700
17,2001,JUL,"Georgiev, Kiril",Bulgaria,2695
18,2001,JUL,"Svidler, Peter",Russia,2695
19,2001,JUL,"Van Wely, Loek",Netherlands,2695
20,2001,JUL,"Karpov, Anatoly",Russia,2692
21,2001,JUL,"Dreev, Alexey",Russia,2690
22,2001,JUL,"Polgar, Judit (GM)",Hungary,2686
23,2001,JUL,"Ponomariov, Ruslan",Ukraine,2684
24,2001,JUL,"Ye, Jiangchuan",China,2677
25,2001,JUL,"Lautier, Joel",France,2675
26,2001,JUL,"Azmaiparashvili, Zurab",Georgia,2674
27,2001,JUL,"Grischuk, Alexander",Russia,2669
28,2001,JUL,"Onischuk, Alexander",Ukraine,2667
29,2001,JUL,"Zhang, Zhong",China,2667
30,2001,JUL,"Short, Nigel D.",England,2664
31,2001,JUL,"Akopian, Vladimir",Armenia,2660
32,2001,JUL,"Beliavsky, Alexander G",Slovenia,2659
33,2001,JUL,"Sokolov, Ivan",Bosnia & Herzegovina,2659
34,2001,JUL,"Kharlov, Andrei",Russia,2656
35,2001,JUL,"Bologan, Viktor",Moldova,2655
