year,month,rank,name,federation,rating,source
1967,6,1,"Spassky, Boris V.",URS,2670,olimpbase
1967,6,2,"Fischer, Robert James",USA,2670,olimpbase
1967,6,3,"Petrosian, Tigran",URS,2660,olimpbase
1967,6,4,"Botvinnik, Mikhail",URS,2650,olimpbase
1967,6,5,"Tal, Mikhail N.",URS,2650,olimpbase
1967,6,6,"Stein, Leonid",URS,2640,olimpbase
1967,6,7,"Geller, Efim P.",URS,2630,olimpbase
1967,6,8,"Larsen, Bent",DEN,2620,olimpbase
1967,6,9,"Portisch, Lajos",HUN,2620,olimpbase
1967,6,10,"Korchnoi, Viktor",URS,2620,olimpbase
1967,6,11,"Polugaevsky, Lev",URS,2620,olimpbase
1967,6,12,"Keres, Paul",URS,2610,olimpbase
1967,6,13,"Smyslov, Vassily",URS,2610,olimpbase
1967,6,14,"Taimanov, Mark E.",URS,2600,olimpbase
1967,6,15,"Uhlmann, Wolfgang",GDR,2590,olimpbase
1967,6,16,"Unzicker, Wolfgang",GER,2590,olimpbase
1967,6,17,"Kholmov, Ratmir D.",URS,2590,olimpbase
1967,6,18,"Lutikov, Anatoly S.",URS,2590,olimpbase
1967,6,19,"Najdorf, Miguel",ARG,2580,olimpbase
1967,6,20,"Hort, Vlastimil",CSR,2580,olimpbase
1967,6,21,"Boleslavsky, Isaak",URS,2580,olimpbase
1967,6,22,"Bronstein, David I.",URS,2580,olimpbase
1967,6,23,"Furman, Semyen A.",URS,2580,olimpbase
1967,6,24,"Gipslis, Aivars",URS,2580,olimpbase
1967,6,25,"Reshevsky, Samuel H.",USA,2580,olimpbase
1967,6,26,"Savon, Vladimir A.",URS,2570,olimpbase
1967,6,27,"Vasiukov, Evgeni",URS,2570,olimpbase
1967,6,28,"Benko, Pal C.",USA,2570,olimpbase
1967,6,29,"Gligoric, Svetozar",YUG,2570,olimpbase
1967,6,30,"Ivkov, Borislav",YUG,2570,olimpbase
1967,6,31,"Averbakh, Yuri L.",URS,2560,olimpbase
1967,6,32,"Suetin, Alexey S.",URS,2560,olimpbase
1967,6,33,"Evans, Larry M.",USA,2560,olimpbase
1967,6,34,"Olafsson, Fridrik",ISL,2550,olimpbase
1967,6,35,"Pachman, Ludek",CSR,2540,olimpbase
1967,6,36,"Antoshin, Vladimir S.",URS,2540,olimpbase
1967,6,37,"Lein, Anatoly",URS,2540,olimpbase
1967,6,38,"Nei, Iivo",URS,2540,olimpbase
1967,6,39,"Byrne, Robert E.",USA,2540,olimpbase
1967,6,40,"Panno, Oscar",ARG,2530,olimpbase
1967,6,41,"Filip, Miroslav",CSR,2530,olimpbase
1967,6,42,"Kavalek, Lubomir",CSR,2530,olimpbase
1967,6,43,"Pomar Salamanca, Arturo",ESP,2530,olimpbase
1967,6,44,"Szabo, Laszlo",HUN,2530,olimpbase
1967,6,45,"Krogius, Nikolai V.",URS,2530,olimpbase
1967,6,46,"Liberzon, Vladimir M.",URS,2530,olimpbase
1967,6,47,"Lombardy, William J.",USA,2530,olimpbase
1967,6,48,"Matanovic, Aleksandar",YUG,2530,olimpbase
1967,6,49,"Matulovic, Milan",YUG,2530,olimpbase
1967,6,50,"Bolbochan, Julio",ARG,2520,olimpbase
1967,6,51,"Darga, Klaus",GER,2520,olimpbase
1967,6,52,"Donner, Jan-Hein",NED,2520,olimpbase
1967,6,53,"Ciric, Dragoljub M.",YUG,2520,olimpbase
1967,6,54,"Parma, Bruno",YUG,2520,olimpbase
1967,6,55,"Eliskases, Erich",ARG,2510,olimpbase
1967,6,56,"Schmid, Lothar",GER,2510,olimpbase
1967,6,57,"Bilek, Istvan",HUN,2510,olimpbase
1967,6,58,"Osnos, Viatcheslav",URS,2510,olimpbase
1967,6,59,"Simagin, Vladimir",URS,2510,olimpbase
1967,6,60,"Trifunovic, Petar",YUG,2510,olimpbase
1967,6,61,"Tringov, Georgi P.",BUL,2500,olimpbase
1967,6,62,"Pfleger, Helmut",GER,2500,olimpbase
1967,6,63,"Gheorghiu, Florin",ROM,2500,olimpbase
1967,6,64,"Gurgenidze, Bukhuti",URS,2500,olimpbase
1967,6,65,"Shamkovich, Leonid",URS,2500,olimpbase
1967,6,66,"Sanguinetti, Raul",ARG,2490,olimpbase
1967,6,67,"Bobotsov, Milko G.",BUL,2490,olimpbase
1967,6,68,"Yanofsky, Daniel A.",CAN,2490,olimpbase
1967,6,69,"Barczay, Laszlo",HUN,2490,olimpbase
1967,6,70,"Stahlberg, Gideon",SWE,2490,olimpbase
1967,6,71,"Rossetto, Hector",ARG,2480,olimpbase
1967,6,72,"Minev, Nikolay N.",BUL,2480,olimpbase
1967,6,73,"Rossolimo, Nicolas",FRA,2480,olimpbase
1967,6,74,"Barcza, Gedeon",HUN,2480,olimpbase
1967,6,75,"Dely, Peter",HUN,2480,olimpbase
1967,6,76,"Bisguier, Arthur B.",USA,2480,olimpbase
1967,6,77,"Robatsch, Karl",AUT,2470,olimpbase
1967,6,78,"O'Kelly de Galway, Alberic",BEL,2470,olimpbase
1967,6,79,"Padevsky, Nikola",BUL,2470,olimpbase
1967,6,80,"Penrose, Jonathan",ENG,2470,olimpbase
1967,6,81,"Lehmann, Heinz",GER,2470,olimpbase
1967,6,82,"Forintos, Gyozo V.",HUN,2470,olimpbase
1967,6,83,"Lengyel, Levente",HUN,2470,olimpbase
1967,6,84,"Damjanovic, Mato",YUG,2470,olimpbase
1967,6,85,"Janosevic, Dragoljub",YUG,2470,olimpbase
1967,6,86,"Ciocaltea, Victor",ROM,2460,olimpbase
1967,6,87,"Ghitescu, Theodor",ROM,2460,olimpbase
1967,6,88,"Lilienthal, Andor",URS,2460,olimpbase
1967,6,89,"Tolush, Alexander",URS,2460,olimpbase
1967,6,90,"Maric, Rudolf",YUG,2460,olimpbase
1967,6,91,"Pilnik, Herman",ARG,2450,olimpbase
1967,6,92,"Flesch, Janos",HUN,2450,olimpbase
1967,6,93,"Byrne, Donald",USA,2450,olimpbase
1967,6,94,"Guimard, Carlos E.",ARG,2440,olimpbase
1967,6,95,"Haag, Ervin",HUN,2440,olimpbase
1968,4,1,"Fischer, Robert James",USA,2710,olimpbase
1968,4,2,"Botvinnik, Mikhail",URS,2690,olimpbase
1968,4,3,"Korchnoi, Viktor",URS,2660,olimpbase
1968,4,4,"Spassky, Boris V.",URS,2660,olimpbase
1968,4,5,"Larsen, Bent",DEN,2650,olimpbase
1968,4,6,"Petrosian, Tigran",URS,2650,olimpbase
1968,4,7,"Tal, Mikhail N.",URS,2650,olimpbase
1968,4,8,"Geller, Efim P.",URS,2630,olimpbase
1968,4,9,"Smyslov, Vassily",URS,2630,olimpbase
1968,4,10,"Unzicker, Wolfgang",GER,2610,olimpbase
1968,4,11,"Portisch, Lajos",HUN,2610,olimpbase
1968,4,12,"Polugaevsky, Lev",URS,2610,olimpbase
1968,4,13,"Stein, Leonid",URS,2610,olimpbase
1968,4,14,"Keres, Paul",URS,2600,olimpbase
1968,4,15,"Kholmov, Ratmir D.",URS,2600,olimpbase
1968,4,16,"Lutikov, Anatoly S.",URS,2600,olimpbase
1968,4,17,"Najdorf, Miguel",ARG,2590,olimpbase
1968,4,18,"Olafsson, Fridrik",ISL,2590,olimpbase
1968,4,19,"Boleslavsky, Isaak",URS,2590,olimpbase
1968,4,20,"Gligoric, Svetozar",YUG,2590,olimpbase
1968,4,21,"Gipslis, Aivars",URS,2580,olimpbase
1968,4,22,"Krogius, Nikolai V.",URS,2580,olimpbase
1968,4,23,"Taimanov, Mark E.",URS,2580,olimpbase
1968,4,24,"Benko, Pal C.",USA,2580,olimpbase
1968,4,25,"Reshevsky, Samuel H.",USA,2580,olimpbase
1968,4,26,"Hort, Vlastimil",CSR,2570,olimpbase
1968,4,27,"Darga, Klaus",GER,2570,olimpbase
1968,4,28,"Furman, Semyen A.",URS,2570,olimpbase
1968,4,29,"Lein, Anatoly",URS,2570,olimpbase
1968,4,30,"Antoshin, Vladimir S.",URS,2560,olimpbase
1968,4,31,"Gufeld, Eduard",URS,2560,olimpbase
1968,4,32,"Zaitsev, Alexander",URS,2560,olimpbase
1968,4,33,"Evans, Larry M.",USA,2560,olimpbase
1968,4,34,"Ivkov, Borislav",YUG,2560,olimpbase
