player,year,event,white,black,opponent_elo,result,total_plies,acpl,color
Tal,1980,It (cat.15),Tal Mikhail (LAT),Ljubojevic Ljubomir (SCG),2590,1/2-1/2,34,4.54,White
Tal,1980,It (cat.15),Tal Mikhail (LAT),Gligoric Svetozar (SCG),2565,1/2-1/2,33,1.46,White
Tal,1980,It (cat.15),Tal Mikhail (LAT),Timman Jan H (NED),2600,1/2-1/2,55,7.08,White
Tal,1980,It (cat.15),Tal Mikhail (LAT),Ivkov Borislav (SCG),2530,1/2-1/2,43,12.17,White
Tal,1980,It (cat.15),Tal Mikhail (LAT),Polugaevsky Lev A (RUS),2635,1/2-1/2,53,8.52,White
Tal,1980,Olympiad,Tal Mikhail (LAT),Sax Gyula (HUN),2570,1/2-1/2,61,17.78,White
Tal,1980,Ch World (match) (cand.) (1/4),Tal Mikhail (LAT),Polugaevsky Lev A (RUS),2635,1/2-1/2,79,8.75,White
Tal,1980,Ch World (match) (cand.) (1/4),Tal Mikhail (LAT),Polugaevsky Lev A (RUS),2635,1/2-1/2,72,24.12,White
Tal,1980,Ch Europe (team),Tal Mikhail (LAT),Ribli Zoltan (HUN),2610,1/2-1/2,67,11.2,White
Tal,1980,Ch Europe (team),Tal Mikhail (LAT),Liberzon Vladimir M (ISR),2545,1/2-1/2,76,3.68,White
Tal,1980,It (cat.15),Tal Mikhail (LAT),Kurajica Bojan (BIH),2525,1-0,79,12.78,White
Tal,1980,Ch World (match) (cand.) (1/4),Polugaevsky Lev A (RUS),Tal Mikhail (LAT),2635,1/2-1/2,34,0.38,Black
Tal,1980,Ch World (match) (cand.) (1/4),Tal Mikhail (LAT),Polugaevsky Lev A (RUS),2635,1/2-1/2,66,23,White
Tal,1980,Ch World (match) (cand.) (1/4),Polugaevsky Lev A (RUS),Tal Mikhail (LAT),2635,1/2-1/2,40,1.62,Black
Tal,1980,Match (training),Kasparov Garry (RUS),Tal Mikhail (LAT),2595,1/2-1/2,54,9.04,Black
Tal,1980,It (cat.15),Hort Vlastimil (GER),Tal Mikhail (LAT),2595,1/2-1/2,55,2.52,Black
Tal,1980,It (cat.15),Andersson Ulf (SWE),Tal Mikhail (LAT),2590,1/2-1/2,40,11.56,Black
Tal,1980,It (cat.10),Tal Mikhail (LAT),Romanishin Oleg M (UKR),2580,0-1,80,22.42,White
Tal,1980,Ch World (match) (cand.) (1/4),Tal Mikhail (LAT),Polugaevsky Lev A (RUS),2635,0-1,140,15.18,White
Tal,1980,Ch Europe (team),Hort Vlastimil (GER),Tal Mikhail (LAT),2595,1/2-1/2,26,2.33,Black
